,date,employeeType,position,work_location,Location,summary,pro,con,overallStar,workLifeStar,cultureStar,careerOppStar,comBenefitsStar,srManagementStar,reviewLink
261,12-Dec-19,Current Employee,Expert,None,,"""Ehhhh""","4 day work week, make your own schedule. Pay is ok but could be better. They waste  a lot of money on silly things (Onboarding was totally unnecessary) which could go to improving salaries.",The company hasn't truly figured out what they do/offer so things change frequently. Started out just delivering things now you're basically an AT&T sales rep minus the commission. Management will constantly be on your back about sales goals but who wants to sell crap for AT&T when you aren't being well compensated for it.,2,4,2,2,3,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW30832169.htm
262,17-Dec-19,Current Employee,Mobile Retail Expert,None,,"""okay company""",finally starting to listen to the field teams,"long days driving around, the team can be very good or bad depending on market",3,3,5,2,3,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW30920286.htm
263,15-Oct-19,Current Employee,Expert,"Phoenix, AZ",W,"""Best job I’ve had""","Freedom, spend your days working on your own. Company cares about your well being. Not in the office much but when you are it’s a fun atmosphere surrounded by good people. Somewhat create your own schedule. Work 4 days on, 3 days off each week. Great benefits.","10 hour shifts, so work consumes most/all of your day when you do work.",5,5,5,4,5,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW29817685.htm
264,13-Dec-18,Current Employee,Expert,"Seattle, WA",W,"""Things are good :)""","loving the experience so far, I'm part of the google team and things are going well for the most part. Only thing I would like to see improve are the app on the google pixel phone, and maybe a little more organization with setting experts up for success. Workin four days a week!","Uniforms, wish we could express our personality a bit more and go back to the old uniforms. With the new nest stuff and us dealing with wiring in people houses and using power tools, there should be more compensation. That 6-8 window gets tricky with visits. The fleet vehicles are not the best. Wish we had more up to date cars with blind spot monitoring and additional safety features. Remember with all the equipment and inventory in the car, you can't see out the back window. Also cars are to full and things slide around all day because the racks are inefficient.",5,4,5,4,5,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW23828216.htm
265,15-Apr-19,Former Employee,Expert,"San Jose, CA",W,"""Easy enough job if you have sales experience or are willing to learn""","Schedule flexibility, empathic leaders, lots of down time, independent work",Lack of transparency regarding bussiness model. Company doesn’t make money unless the experts attach quite a few accessories and add lines consistently. Most experts aren’t selling enough for the company to be profitable because they lack the sales experience and training. Favoritism and gossip is rampant.,3,5,4,3,2,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW25693080.htm
266,14-Oct-19,Current Employee,Expert,"San Jose, CA",W,"""Amazing opportunity’s""","Start up company, so much room to grow! 4 days a week work schedule! You make your own schedule! Salary/hourly pay!","Some days are longer then others, lots mandatory training, even on your days off, it’s a start up so there’s lots of changes day by day with operations.",5,5,5,2,4,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW29798360.htm
267,28-Dec-19,Current Employee,Operations,"Hollywood, CA",W,"""The promise of a people-centered company dies fast""",Great insurance and Life-Work Balance is pretty good.,Communication from headquarters might as well be categorized as a natural disaster. Pay is pretty bad for Mobile Experts,2,4,3,3,2,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW31039712.htm
268,12-Oct-19,Current Employee,Expert,None,,"""The Idealized Version of this Job is Amazing, the Truth, Less So""","Enjoy hires some amazing people. I love all of my coworkers. Benefits are pretty good. You work 4 days on and 3 days off. You get to meet and help a bunch of people and see places you may never have gone in your city. Enjoy goes out of its way to hire the nicest, most lovely people.","I’ll start with the little things and work up to the bigger things. Say goodbye to your evenings, you will work at least 10 hour days, and that’s when everything goes well. Drive times, issues with AT&Ts insanely issue prone system, customers who refuse to let you leave until they get everything they want taken care of, a scheduling system that often times makes you work 8 days in a row, trying to cram a lunch into an already insanely busy day...these are all relatively minor cons. The biggest issue is one you will see throughout these reviews...the company positions itself as an experience based company but has gradually turned into a sales based company. You can have amazing experiences with people and completely change their lives, but if you don’t manage to tack on insurance or convince them to add a line (which we’re told to misleadingly position as a free phone) then the experience didn’t really matter. The company seems to have lost more partners than they’ve gained with the primary partnership being AT&T. It’s clear AT&T doesn’t care about the experience so much as the fact that they can pay Enjoy regular delivery service prices while reaping the benefits of having a fleet team of people who will do everything an AT&T associate will do and more but without the cost and commission. Where it once seemed that the experience was what Enjoy was selling to our partners, it’s clear that either we undersold the experience aspect or maybe just that AT&T doesn’t care (in which case I’d argue that maybe they’re the wrong partners for this company). Speaking of partnerships, expect 99% of your visits to be AT&T and maybe 1% SONOS.  It’s clear AT&T is our biggest partner and where the most money comes from but as AT&T becomes our primary focus, all of the cons of AT&T come with it. We are expected to push incredibly expensive accessories, additional phones, and insurance plans to people who have already been up-sold by an AT&T rep or online. More often than not I’ve actually taken insurance off of people’s accounts because an AT&T rep has added it on without a customer knowing. As we lean harder into metrics and sales, we inch closer and closer into becoming just as bad as those associates. I’ve seen other experts lie about how much time customers have to add insurance on, add insurance on without permission, tell customers to add a line and cancel an old line to take advantage of BOGO deals, take insurance off and re-add it to get the credit, and several other shady things. Ethics, integrity and overall the customer experience goes out the window as it becomes all about money. That said it’s hard to blame people when they are threatened with termination because they’re not hitting goals. Speaking of goals and metrics, they change constantly. When the company first started metrics were basically the visits themselves, accessories, and maybe added lines. Now the experience hardly means anything, accessories are measly when it comes to revenue, and you better pray the majority of your customers aren’t already enrolled in a multiple device insurance plan.  Most of the higher ups who started as experts never had to deal with these metrics and even if you excel in one area, if it doesn’t generate enough revenue you may end up out of a job. So much of it is luck. Some days you get someone who is severely overpaying for insurance and signing them up for a multi device plan actually saves them money. Other days you are solely dropping off devices, dealing with authorized users who don’t want to buy things for someone else’s phone, or people who have every possible sales opportunity taken care of already. It’s hard to hit consistent numbers when nothing about what we do or who we see is consistent. Higher ups are paid more but seemingly not held as accountable for goals.",2,1,4,3,3,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW29774525.htm
269,19-Dec-19,Current Employee,Mobile Expert,None,,"""Startup""",4 day weeks and bid Schedules allow for flexibility.,Internally restructuring all the time,4,4,3,4,3,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW30947001.htm
270,4-Oct-19,Current Employee,Recruiting,"Palo Alto, CA",W,"""Love it here!""",Kind employees that are team oriented. This is a fast pace collaborative environment with extremely intelligent people in all departments.  There are lots of complex problems to solve  and you really do have a voice here.,The company needs brand us  better so people don't think we are retail,5,5,5,4,4,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW29622498.htm
271,14-Oct-19,Current Employee,Software Engineer,"Palo Alto, CA",W,"""Great place to work and grow, very supportive work environment""","* Teams are very collaborative
* You own your own work, also are given projects for growth
* You can see how the business works 
* Supporting technologies like continuous integration 
* Catered lunches",* Growing company so lots of change,5,5,None,None,None,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW29803144.htm
272,14-Oct-19,Current Employee,Expert,"Sacramento, CA",W,"""Awesome job / room for growth""","40hrs a week 
Benefits
Awesome coworkers
10hr days / 4xs a week
Great pay! Overtime is available if the company is in need of more experts

Flown out of state for 5 day training",No choice of part time,5,5,5,5,5,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW29801980.htm
273,14-Oct-19,Current Employee,Expert,None,,"""BEST JOB EVER!!""",There is to many to list just know working for Enjoyer will be a decision you won’t regret,Honestly there are none that I’m seeing I love everything about Enjoy,5,5,5,5,5,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW29797477.htm
274,20-Nov-19,Former Employee,Expert,"Houston, TX",W,"""Great Culture and amazing team environment.""","Flexible schedule, team environment, discounts",work can be tedious and a lot of alone time,5,5,5,5,5,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW30480976.htm
275,13-Aug-19,Former Employee,Fulfillment Specialist,"Chicago, IL",MW,"""They were OK""","Pretty lenient job, easy work","Too many changes that weren't beneficial It may have been due to them being a start-up, but it seems every week a change was being made only to realize it wasn't efficient the next week. All in all, I don't have any major complaints, just wish they were more organized and on top of their game.",3,4,4,4,3,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW28606577.htm
276,13-Oct-19,Current Employee,Customer Experience Expert,None,,"""Everyday is a new day with great customers""",4 day work weeks. Every day is different with a new set of clients. Coworkers are amazing.,Work week scheduling can be random. The position has also become very sales oriented.,4,3,4,5,3,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW29786816.htm
277,22-Apr-20,Former Employee,Field,None,,"""Shifty leaders""",Not to much of anything,Lying cheating leaders that dump people who question,1,3,1,3,None,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW32838245.htm
278,19-Aug-19,Former Employee,Field Expert,"Los Angeles, CA",W,"""Start up with great potential!""","Enjoy was a great company to work for while I was attending school.  Although, I'm not sure if it's still considered a start up due to its size now.

- Great training and culture
-  Decent upward mobility
- Lots of job autonomy",The company became more sales focus due to pressure from investors and partners (like AT&T).,4,5,4,5,4,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW28718302.htm
279,25-Aug-19,Former Employee,Support Expert,"Austin, TX",W,"""Perfect Place to Steal Your Joy""","- Healthcare is great but you do pay for it out of each check
- I can't think of any other pros but I hear the office bully has finally moved on to something else so that could be considered a pro. She was an actual living-breathing nightmare!","- Management is laughably bad. The ones based out of ""HQ"" in California are some of the fakest people I have ever had. The one manager I had in office will NOT have your back unless your bff 
- Favoritism is blatant but management pretends to not know about it 
- I was paid well but I know for a fact they offer much less now for anyone hired on nowadays
- The customers of the companies Enjoy works with are horrible. I didn't realize I'd be working for AT&T but that's essentially what the job evolved to. 
- The customers are terrible and you will get no support from management about it. The managers only care about themselves and preserving their role, so if you get screamed at or receive disrespectful comments from customer, you will NOT get any support.
- I'm not sure who all is left in the office now bc the turnover rate is huge. The people that were there are so fake and will stab you in the back all the while smiling in your face.
- Toxic environment
- Snacks are terrible. They started using some ~healthy~ vendor for snacks and the selection was disgusting. 
- The hours are terrible. You can either work 8-5 or 1-10. If you want 8-5, good luck! The Favoritism will eliminate that possibility
- Zero opportunities for growth
- The job itself could easily be done remotely but they refuse. It makes no sense and in fact there are roles that are remote such as the Scheduling Team and the Internal Support Team 
- Are you looking for mind-numbingly boring monotonous work with little recognition or pay off? Then this is the job for you.",2,1,2,1,1,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW28833823.htm
280,14-Oct-19,Current Employee,Expert,"Minneapolis, MN",E,"""The career you have all been looking for""",4 day work weeks you set yourself. Competitive hourly pay with great benefits and discounts. Company vehicle and company fuel card,Hard to think of any,5,5,5,5,5,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW29796682.htm
281,7-Nov-19,Former Employee,Fullfilment,None,,"""Literally the worst decision you could make""","If you work at HQ, it is likely that you will NEVER have to pay for lunch. 

 You get to eat your catered meal and watch the field teams bust through dangerous visits and laugh at the silly experts who do the work.  If you work in Palo Alto, you get to enjoy the luxurious, brand new corporate office with the tables crafted by the head of field’s spouse (which apparently we paid for with our new investment partners money). You can stare in wonder at your beautiful surroundings while the field teams drive around trying to find a safe place to use the bathroom.  

There is literally zero accountability for HQ teams, so feel free to do absolutely nothing! Like, literally nothing!  And don’t worry about finding time to connect with those silly experts in the field (gross right?).

If you work in the field, you will have the ability to have your mental health strengthened by sheer force of will.  Gradual exposure therapy will make you unafraid of going to unsafe and dangerous locations.  You will have the resilience of a super hero!  When dangerous or unsafe (actually life-threatening) situations happen, you will get to experience gaslighting about how it’s essentially your fault!  

You will also get to understand and grow from the amazing stress of worrying every single day that you will be fired if you don’t attach certain additional services your customers accounts.  You will receive all the training in the world on how to bend your ethical will to make questionable decisions and...pretty much lie to your customers.   

You will learn about values like Kindness:  Kindness means “don’t speak up about things that aren’t working or you will be branded a trouble maker” 

Winning Together:  Winning Together means, all of the field teams do all of the work while HQ and leadership teams (coaches) fly around to have conferences and travel on the company dime.  Winning together means by all means necessary DO NOT ever contact the head of field, because nothing is more annoying than wanting to feel like you contribute and are valued.  

Experience Obsessed: This one means, get so paranoid of losing your “experience” job that you have to decide between sacrificing your personal ethics (doing shady things) or not being with the company.   

Growth Mindset:  You get to learn how to adapt to constant change, unsupported by rational decision making.  It’s great.  Let’s just try something new because I’m a project manager!  But, yeah....no I’m not getting in a car and watching you do visits. 

But if you really want a sweet gig, seek out a position in “People Success” (HR).  You will be constantly thrilled investigating all of the craziness that happens at this company.  You also won’t have to actually...you know...work.","I didn’t believe this at first, but I feel that it’s important to acknowledge that the positive reviews you see here are the result of: 

-Email blasting people who are brand new and drinking the “fruit punch” about posting a review.  This is a disingenuous and unethical way to boost ratings.  
-Recruiting Teams literally pumping fake reviews because it is getting harder to find talent that isn’t scared off. 
-Captains boosting their ego by posting fake reviews, or to bump down specific reviews about a market.  

This company shifted hard in the last year to juice profit out of its front-line employees and in the process termed through about 40-50% of it’s expert staff.  This originates from the passive-aggressive and deceitful tactics employed by the top field leadership.  If you want to be successful at this company, leave and go work for Lululemon and make buddies that will pull you in.   That is apparently all it takes.  

It’s literally all about money.  That’s it.  Nothing else matters to this company because it has so fundamentally lost its vision in search of making business decisions simply to avoid going bankrupt.  A recent example is the mass (quick) hiring of front-line employees, only to find out that we made these calls with no data and forecasting and on the whim of our biggest partner.  

Fast forward, and now the field (front line) is scrambling to get visits and is actively looking to fire through its expert teams to get back to a sane staffing level.  Fun fact: This probably isn’t possible and the company is bleeding cash.   

It’s not healthy or sustainable to work here, and it will tax you unless you are one of the original 15-or-so employees that were originally hired.  

The core issue that you need to know about working for this company however is that it is a dangerous job.  There have been multiple, violent criminal robberies of team members.  When I had my personally property stolen because a vehicle was broken into, I was told it was my fault for having my property with me.  The job is literally you going out in a company vehicle.  That’s the job.",1,1,1,1,1,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW30259024.htm
282,22-Oct-19,Current Employee,Field Expert,"Louisville, KY",SE,"""What I wish every employer treated me as""","Clear Management, Non-strict Sick/PTO Policy, Options to Move Up Quick, Fair Pay, Steady Days",Variable schedule due to bidding cycles,5,5,5,5,5,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW29951761.htm
283,20-Aug-19,Current Employee,Field Expert,"London, England, England",UK,"""Detractor""",4 Day work week - Occasional choice in when to work - Paid lunch break (when you actually get it!) - Independent role where you manage your day,Huge inequality of pay - No time for lunch/breaks - Appalling communication - Vague and unclear HR team - Shift work and weekend work,2,3,2,2,1,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW28733781.htm
284,26-Mar-19,Current Employee,Anonymous Employee,"Menlo Park, CA",W,"""Great culture people wise, needs work organizationally""","- Great people
- Flexible schedules
- Excellent benefits 
- Work from home days optional 
- The team atmosphere is fun if you're into sports
- Transparency from leadership 
- Innovative solutions 
- Strong Field team members","- Typical of most startups, a lack of clarity in responsibilities makes it challenging to develop professionally, get seen and valued for your work.
- There are no programs to develop leadership or technical skills. 
- Unspoken expectations about workload.
- Roles and responsibilities change often to align with company KPIs and goals, making it difficult to develop and evaluate complete projects. 
- Depending on the team you're on, competition trumps the ""Winning Together"" company value and makes cross collaboration painfully challenging.",3,4,3,5,4,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW25357923.htm
285,13-May-19,Former Employee,Customer Service Expert,None,,"""Company is amazing, but certain locations are toxic without upper management knowing""","Flexibility in schedule, no micromanagement, pay","Lack of management skills, toxicity in certain locations, drama",3,5,3,4,4,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW26123293.htm
286,14-Oct-19,Current Employee,Expert,None,,"""Amazing company for Now""","Pay ,Work schedule, environment amazing for a hard working person.",Every Customer don’t want insurance or accessories or a add a line,5,5,5,5,5,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW29798134.htm
287,14-Dec-18,Current Employee,Expert,None,,"""I enjoy Enjoy!""","Meeting new people, every day is a new adventure, most people are super happy with the service and love getting their new stuff from me! I love exploring my state too! Company is always trying to improve. Super positive vibes all around with this company!","If you don’t like driving then this position can be a bit challenging. Things are always changing, but that’s to be expected with a newer company like this one; I don’t necessarily find this to be a con, but rather challenging for some to adapt to, so I’ll list it as a con.  The training was INTENSE.",5,4,5,5,5,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW23833574.htm
288,2-Jun-19,Former Employee,Field Expert,"Seattle, WA",W,"""Bait and switch""",Work 4 days a week with three off. Good health insurance. Mostly good co-workers.,for the first few years it was all about giving customers an amazing experience. Now it's become a straight-up AT&T sales job. With no commission. If you don't make your sales quotas you're on noyice to be fired  Low pay. Minimal paid time off. And it doesn't increase. People are promoted to store managers and trainers based on hitting sales quotas. NOT based on one's ability to lead or train. Guess what happens? You get crappy managers and trainers that read power points to you. You better like driving in traffic. A LOT. Very little chance of promotions.,2,3,3,2,1,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW26440071.htm
289,30-Aug-19,Former Employee,Expert,None,,"""Change Was Inevitable""","The wonderful thing about Enjoy was it’s relative flexibility of hours. 4 ten hour days a week are much better than 5 eight hour days.

Additionally, my coworkers were wonderful, and many of them I still keep in contact with.","They’re lack of organization meant we were without a proper leader for over half a year. We were forgotten about and were never involved in any conversation regarding our growth.

Over time, the job position changed and essentially became AT&T’s lackeys. Leadership was well informed on our well being but did very little for us.",2,3,3,1,1,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW28944173.htm
290,3-Dec-19,Current Employee,Expert,None,,"""Horrible place to work""",4days pick your own shift,"Liars never told it was sales jobs now all they want is to make us get sales has nothing to do with providing a service, some captains (managers) all they care about is stats and dont care about you. Travel distance between deliveries is a joke yet the captains managment decided we need to do more visits during the day",1,2,2,1,1,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW30683182.htm
291,3-Oct-19,Former Employee,Anonymous Employee,"Boston, MA",E,"""Fake positive environment. If you like being in a cult do I have the job for you!""","Pay and benefits are decent.
4 Day work week is nice.
Good Co-Workers","If you aren't happy you better fake it.

Captains demand happiness. They don't care if you just lost a loved one or going through a serious traumatic event... if you aren't happy they will watch you like a hawk and threaten to fire you if you don't change your attitude. 

If your performance numbers aren't up to par they will threaten to fire you but give you no opportunity to learn from others and improve.

Leaders sit all day looking at your ""performance"" and writing on Slack... other than the occasional ride along do they ever really ""work""

No forward growth in company unless you are a captains favorite.

AT&T is your main client... which would be fine if they paid you less than AT&T employees hourly AND don't give you compensation for the same sales AT&T employees are expected to.

They don't care about safety.

My manager ignored my calls when I was in a unsafe visit... when they finally called me back it was 7 hours later and they were asking if I could take a visit an hour and a half away from where I was (never once asking if I was ok from the morning event)

You are expected to take a 30 min lunch and complete 8-10 visits a day while driving anywhere from 10 mins to 2 hours away to your next visit and spend AT-LEAST 30 mins with each customer. (Ya its not possible)

Change happens frequently. It is a start up so it is understandable... but leadership insists that a cookie cutter approach for the WHOLE company is what is best and refuses to make adjustments based on what market you are in. (having worked in two markets for enjoy I will tell you the differences ARE HUGE)

If you are a top performer you can get away with anything like ILLEGALLY SIGNING a contract for a customer.

Same top performer bragged in our morning meeting about how he ""tricks"" customers into signing up for insurance or added lines and the captains applauded him.

Threatened to get fired when asked if I could apply for a opening in the fulfillment department... THAT THEY SAID WE COULD APPLY FOR IN AN EMAIL!!!!!!!!!!!

Ron Johnson (the CEO) spends more time emailing his employees about great visits they preform (which is cool at first) but the more you work their you start thinking... shouldn't he be getting us new partners?

It is an AT&T sales job and not until recently did they start telling people in interviews it is about sales.

If there is a problem you address leadership basically says to change you attitude and get over it. 

Support team is slow in responding cause the company thinks 5 people  can support 50 markets worth of problems. Literally 5 people are our company support... I feel bad for them",1,1,1,3,1,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW29598964.htm
292,8-Oct-18,Current Employee,Flexpert,"Detroit, MI",MW,"""Flex-pert!""","From the moment you go into orientation/on boarding your with people who truly care about your experience with the company. They offer all kinds of encouragement and positive energy! 

The pay is also considerably good. I love having a full time position that is your 40 hours plus the optional overtime. 

You get paid for your on boarding and the days that you travel for training. 

Everyone shares their experience and expectations from the beginning, your not blind side by the company and you know your goals.

They give you the necessary tools to complete your job to the fullest and beyond.

The health care benefits are really good.

Your able to work with some amazing products that technology has to offer.

Traveling is an option also, being able to visit other markets was a great experience.

It’s hard work but a very humbling experience to be apart of when you work for enjoy.

Plus it’s 10 hour shifts with 3 days off.",10 to 8pm shifts. But having 3 days off balances that out.,5,5,5,5,5,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW22858834.htm
293,25-Feb-19,Current Employee,Anonymous Employee,"Menlo Park, CA",W,"""Favoritism and Meaningless work""","Catered lunch daily, the ability to come to work and do nothing because the managers are not truly managing their staff.  I come to work and stare at the walls, chat all day on slack, play ping pong, and fall asleep at my desk.  The average time I spend on work each week is about 5 hours, the other 35 hours are spent goofing off.  I don't even try hard to make an effort to look busy, my coworkers have seen me sleeping at my desk, and my manager is no where to be found.  In fact my manager only spends time with his favorite buddies, giving each other group hugs (gross and unprofessional), and doesn't spend time with nourishing the whole team.  Often times, I am excluded from meetings, receive feedback of my work that its good but no constructive comments for improvement, not encouraged to do anything more lucrative.  So back to sleep I go!!!","The downside is when I have to do work, the 5 hours per week.",1,4,1,1,1,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW24869321.htm
294,11-Nov-19,Former Employee,Field Expert,None,,"""Great benefits - job responsibility changed as time went on""","Benefits are great, 4 day work weeks","pay isn't good, essentially became a ""sales"" position and if you didn't meet those KPIs then you were let go easily, not valued as an individual, more of a number",2,4,1,4,1,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW30315754.htm
295,31-Jan-19,Current Employee,Anonymous Employee,None,,"""Amazing place to work!""","I've been with the company for just over 2.5 years. It has been an amazing experience. I have been able to grow so much professionally as well as personally. I love the culture here which is focused on Kindness, Experience Obsessed, Winning Together and Growth Mindset. I love the team that I am apart of. I also love that that we focus not only on the customer experience but ALSO on the employee experience. Feedback is heard and acted upon which is also amazing. The leadership teams are passionate about supporting and developing each person on their team. Love it here.","Fast-paced, job expectations shift often",5,4,5,5,5,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW24474933.htm
296,19-Mar-19,Current Employee,Anonymous Employee,None,,"""Great Company for the Right Kind of Employee""","Enjoy HQ has incredible culture. No one is inaccessible to anyone else in the company, and you truly feel that your opinion is valid and valued. For employees willing to commit fully to their career, there are great opportunities for growth and advancement.","The pace of work and work/life balance at Enjoy can be unpredictable and difficult to maintain. Depending on the team you are on, you can have the most accommodating position (work from home, ample PTO, flexible hours, etc) or be worked to the bone (7 day, 75+ hour weeks, etc.)",4,1,4,4,3,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW25240487.htm
297,19-Jul-19,Current Employee,Customer Experience Expert,None,,"""Awesome company trying to shake up the norm""",Amazing work/life balance and company core values are comforting.,Direction of the Company tends to sway and cause confusion but to be expected of Startups,5,5,5,4,5,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW28130764.htm
298,18-Oct-18,Expert,None,"Los Angeles, CA",W,"""A great idea executed poorly""","Flexible Scheduling
The core values of the company
Positive and helpful co-workers
A job where you get to help customers and provide great experiences
Great health insurance","A shift to a sales based position, customers are no longer the priority
No commission for sales
Focus on arbitrary goals that don't serve the experts or customers well
The experts do all the real  work with little payout while the management gets unlimited vacation
On the job safety isn't taken seriously
Unorganized and uninformed management 
Gender pay gap",2,4,3,2,2,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW23016602.htm
299,11-Oct-18,Current Employee,Expert,"Denver, CO",W,"""Love it!""","•This company is more like a family. My team has been so supportive and informative, and our Captain truly cares about your wellbeing. 

• Work is normally 10 hrs a day for 4 days, and you get 3 days off. You also get to choose your schedule!

• Benefits are FANTASTIC!! Also, very affordable!

• You can pick up shifts in other markets if you travel! 

• Overall, the work experience is very positive, and if there is something that makes you unhappy, they work with you! 

• If there are too many visits for you to make in a time window/day, your team will reach out to help and so will your captain!","It can feel a bit overwhelming starting off. There is a lot of information to learn, but they also make sure you feel prepared before sending you out.",5,5,5,5,5,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW22915855.htm
